pincode,post_office,district,state
151510,Bo,Mansa,Punjab
231305,Bo,Mirzapur,Uttar Pradesh
151208,Bo,Moga,Punjab
209745,Bo,Farrukhabad,Uttar Pradesh
209747,Bo,Kannauj,Uttar Pradesh
209735,Bo,Kannauj,Uttar Pradesh
209727,Bo,Kannauj,Uttar Pradesh
209728,Bo,Kannauj,Uttar Pradesh
224235,Bo,Ambedkar Nagar,Uttar Pradesh
144624,Bo,Kapurthala,Punjab
143119,Bo,Amritsar,Punjab
148102,Bo,Barnala,Punjab
262001,Bo,Pilibhit,Uttar Pradesh
231211,Bo,Mirzapur,Uttar Pradesh
231215,Bo,Sonbhadra,Uttar Pradesh
231213,Bo,Sonbhadra,Uttar Pradesh
148105,Bo,Barnala,Punjab
141117,Bo,Ludhiana,Punjab
144404,Bo,Hoshiarpur,Punjab
151503,Bo,Mansa,Punjab
151111,Bo,Bathinda,Punjab
151002,Bo,Bathinda,Punjab
148018,Bo,Sangrur,Punjab
148021,Bo,Malerkotla,Punjab
148101,Bo,Barnala,Punjab
209503,Bo,Farrukhabad,Uttar Pradesh
209729,Bo,Kannauj,Uttar Pradesh
209731,Bo,Kannauj,Uttar Pradesh
209734,Bo,Kannauj,Uttar Pradesh
209732,Bo,Kannauj,Uttar Pradesh
209738,Bo,Kannauj,Uttar Pradesh
151106,Bo,Bathinda,Punjab
230401,Bo,Pratapgarh,Uttar Pradesh
230204,Bo,Pratapgarh,Uttar Pradesh
230132,Bo,Pratapgarh,Uttar Pradesh
230403,Bo,Pratapgarh,Uttar Pradesh
230402,Bo,Pratapgarh,Uttar Pradesh
230135,Bo,Pratapgarh,Uttar Pradesh
230002,Bo,Pratapgarh,Uttar Pradesh
230121,Bo,Pratapgarh,Uttar Pradesh
230304,Bo,Pratapgarh,Uttar Pradesh
230138,Bo,Pratapgarh,Uttar Pradesh
230139,Bo,Pratapgarh,Uttar Pradesh
230141,Bo,Pratapgarh,Uttar Pradesh
146110,Bo,Hoshiarpur,Punjab
144519,Bo,Hoshiarpur,Punjab
151505,Bo,Mansa,Punjab
144623,Bo,Jalandhar,Punjab
143109,Bo,Amritsar,Punjab
143107,Bo,Amritsar,Punjab
143009,Bo,Amritsar,Punjab
143113,Bo,Amritsar,Punjab
143301,Bo,Tarn Taran,Punjab
143408,Bo,Tarn Taran,Punjab
143411,Bo,Tarn Taran,Punjab
143407,Bo,Tarn Taran,Punjab
143412,Bo,Tarn Taran,Punjab
143304,Bo,Tarn Taran,Punjab
143149,Bo,Amritsar,Punjab
741122,Bo,Nadia,West Bengal
742163,Bo,Murshidabad,West Bengal
742401,Bo,Murshidabad,West Bengal
742201,Bo,Murshidabad,West Bengal
742122,Bo,Murshidabad,West Bengal
742235,Bo,Murshidabad,West Bengal
742135,Bo,Murshidabad,West Bengal
742202,Bo,Murshidabad,West Bengal
742213,Bo,Murshidabad,West Bengal
742123,Bo,Murshidabad,West Bengal
742148,Bo,Murshidabad,West Bengal
742184,Bo,Murshidabad,West Bengal
742224,Bo,Murshidabad,West Bengal
742226,Bo,Murshidabad,West Bengal
742404,Bo,Murshidabad,West Bengal
742212,Bo,Murshidabad,West Bengal
742227,Bo,Murshidabad,West Bengal
742223,Bo,Murshidabad,West Bengal
742237,Bo,Murshidabad,West Bengal
741161,Bo,Nadia,West Bengal
742113,Bo,Murshidabad,West Bengal
742166,Bo,Murshidabad,West Bengal
742304,Bo,Murshidabad,West Bengal
742305,Bo,Murshidabad,West Bengal
742187,Bo,Murshidabad,West Bengal
742308,Bo,Murshidabad,West Bengal
742175,Bo,Murshidabad,West Bengal
742306,Bo,Murshidabad,West Bengal
742174,Bo,Murshidabad,West Bengal
742405,Bo,Murshidabad,West Bengal
742151,Bo,Murshidabad,West Bengal
742303,Bo,Murshidabad,West Bengal
713152,Bo,Purba Bardhaman,West Bengal
713125,Bo,Purba Bardhaman,West Bengal
722152,Bo,Bankura,West Bengal
713520,Bo,Purba Bardhaman,West Bengal
713126,Bo,Purba Bardhaman,West Bengal
713127,Bo,Purba Bardhaman,West Bengal
713406,Bo,Purba Bardhaman,West Bengal
713128,Bo,Purba Bardhaman,West Bengal
713407,Bo,Purba Bardhaman,West Bengal
713408,Bo,Purba Bardhaman,West Bengal
713141,Bo,Purba Bardhaman,West Bengal
713428,Bo,Purba Bardhaman,West Bengal
713401,Bo,Purba Bardhaman,West Bengal
713121,Bo,Purba Bardhaman,West Bengal
713122,Bo,Purba Bardhaman,West Bengal
731124,Bo,Birbhum,West Bengal
731214,Bo,Birbhum,West Bengal
731126,Bo,Birbhum,West Bengal
731125,Bo,Birbhum,West Bengal
731215,Bo,Birbhum,West Bengal
731302,Bo,Birbhum,West Bengal
713124,Bo,Purba Bardhaman,West Bengal
713153,Bo,Purba Bardhaman,West Bengal
713403,Bo,Purba Bardhaman,West Bengal
713104,Bo,Purba Bardhaman,West Bengal
713404,Bo,Purba Bardhaman,West Bengal
722153,Bo,Bankura,West Bengal
713131,Bo,Purba Bardhaman,West Bengal
742149,Bo,Murshidabad,West Bengal
742168,Bo,Murshidabad,West Bengal
742138,Bo,Murshidabad,West Bengal
742132,Bo,Murshidabad,West Bengal
742301,Bo,Murshidabad,West Bengal
736146,Bo,Coochbehar,West Bengal
736169,Bo,Coochbehar,West Bengal
736156,Bo,Coochbehar,West Bengal
735214,Bo,Alipurduar,West Bengal
731303,Bo,Birbhum,West Bengal
736201,Bo,Alipurduar,West Bengal
735217,Bo,Alipurduar,West Bengal
736202,Bo,Alipurduar,West Bengal
736204,Bo,Alipurduar,West Bengal
736145,Bo,Coochbehar,West Bengal
743318,Bo,24 Paraganas South,West Bengal
743503,Bo,24 Paraganas South,West Bengal
721135,Bo,Medinipur West,West Bengal
743329,Bo,24 Paraganas South,West Bengal
743330,Bo,24 Paraganas South,West Bengal
743372,Bo,24 Paraganas South,West Bengal
743399,Bo,24 Paraganas South,West Bengal
743504,Bo,24 Paraganas South,West Bengal
741404,Bo,Nadia,West Bengal
743513,Bo,24 Paraganas South,West Bengal
743336,Bo,24 Paraganas South,West Bengal
700137,Bo,24 Paraganas South,West Bengal
743378,Bo,24 Paraganas South,West Bengal
742136,Bo,Murshidabad,West Bengal
742140,Bo,Murshidabad,West Bengal
742147,Bo,Murshidabad,West Bengal
742159,Bo,Murshidabad,West Bengal
742161,Bo,Murshidabad,West Bengal
742103,Bo,Murshidabad,West Bengal
721143,Bo,Jhargram,West Bengal
721501,Bo,Jhargram,West Bengal
721503,Bo,Jhargram,West Bengal
721504,Bo,Bankura,West Bengal
721505,Bo,Jhargram,West Bengal
721506,Bo,Jhargram,West Bengal
736182,Bo,Alipurduar,West Bengal
721157,Bo,Medinipur West,West Bengal
721131,Bo,Medinipur West,West Bengal
721155,Bo,Medinipur West,West Bengal
721150,Bo,Medinipur West,West Bengal
721301,Bo,Medinipur West,West Bengal
721222,Bo,Medinipur West,West Bengal
700154,Bo,24 Paraganas South,West Bengal
743370,Bo,24 Paraganas South,West Bengal
721305,Bo,Medinipur West,West Bengal
722122,Bo,Bankura,West Bengal
722157,Bo,Bankura,West Bengal
722132,Bo,Bankura,West Bengal
722162,Bo,Bankura,West Bengal
722133,Bo,Bankura,West Bengal
722134,Bo,Bankura,West Bengal
722135,Bo,Bankura,West Bengal
722205,Bo,Bankura,West Bengal
722136,Bo,Bankura,West Bengal
722154,Bo,Bankura,West Bengal
743337,Bo,24 Paraganas South,West Bengal
743349,Bo,24 Paraganas South,West Bengal
743610,Bo,24 Paraganas South,West Bengal
700141,Bo,24 Paraganas South,West Bengal
700145,Bo,24 Paraganas South,West Bengal
743354,Bo,24 Paraganas South,West Bengal
743338,Bo,24 Paraganas South,West Bengal
700152,Bo,24 Paraganas South,West Bengal
743611,Bo,24 Paraganas South,West Bengal
743387,Bo,24 Paraganas South,West Bengal
743383,Bo,24 Paraganas South,West Bengal
700150,Bo,24 Paraganas South,West Bengal
743395,Bo,24 Paraganas South,West Bengal
743376,Bo,24 Paraganas South,West Bengal
743502,Bo,24 Paraganas South,West Bengal
722151,Bo,Bankura,West Bengal
722207,Bo,Bankura,West Bengal
731222,Bo,Murshidabad,West Bengal
743145,Bo,24 Paraganas North,West Bengal
743126,Bo,24 Paraganas North,West Bengal
743127,Bo,24 Paraganas North,West Bengal
700110,Bo,24 Paraganas North,West Bengal
700083,Bo,24 Paraganas North,West Bengal
700059,Bo,24 Paraganas North,West Bengal
700156,Bo,24 Paraganas North,West Bengal
731243,Bo,Birbhum,West Bengal
731221,Bo,Birbhum,West Bengal
731223,Bo,Birbhum,West Bengal
731121,Bo,Birbhum,West Bengal
721516,Bo,Jhargram,West Bengal
731201,Bo,Birbhum,West Bengal
700103,Bo,24 Paraganas South,West Bengal
743165,Bo,24 Paraganas North,West Bengal
700121,Bo,24 Paraganas North,West Bengal
731240,Bo,Birbhum,West Bengal
731103,Bo,Birbhum,West Bengal
735215,Bo,Alipurduar,West Bengal
736203,Bo,Alipurduar,West Bengal
731204,Bo,Birbhum,West Bengal
731123,Bo,Birbhum,West Bengal
731102,Bo,Birbhum,West Bengal
736172,Bo,Coochbehar,West Bengal
736179,Bo,Coochbehar,West Bengal
742121,Bo,Murshidabad,West Bengal
742189,Bo,Murshidabad,West Bengal
742165,Bo,Murshidabad,West Bengal
742406,Bo,Murshidabad,West Bengal
742133,Bo,Murshidabad,West Bengal
700138,Bo,24 Paraganas South,West Bengal
743377,Bo,24 Paraganas South,West Bengal
743363,Bo,24 Paraganas South,West Bengal
743312,Bo,24 Paraganas South,West Bengal
700140,Bo,24 Paraganas South,West Bengal
700151,Bo,24 Paraganas South,West Bengal
713148,Bo,Paschim Bardhaman,West Bengal
731104,Bo,Birbhum,West Bengal
721632,Bo,Medinipur East,West Bengal
721631,Bo,Medinipur East,West Bengal
721633,Bo,Medinipur East,West Bengal
721629,Bo,Medinipur East,West Bengal
731301,Bo,Birbhum,West Bengal
721159,Bo,Jhargram,West Bengal
742134,Bo,Murshidabad,West Bengal
713146,Bo,Purba Bardhaman,West Bengal
713166,Bo,Purba Bardhaman,West Bengal
713102,Bo,Purba Bardhaman,West Bengal
700104,Bo,24 Paraganas South,West Bengal
